,neighbor_burning,neighbor_birth,alea_burning,Green_proportion
206,20,0,60,0.0
207,20,0,70,0.0
208,20,0,80,0.0
209,20,0,90,0.0
210,20,10,0,0.85734375
211,20,10,10,0.344375
212,20,10,20,0.09703125
213,20,10,30,0.0
214,20,10,40,0.0
215,20,10,50,0.0
216,20,10,60,0.0
217,20,10,70,0.0
218,20,10,80,0.0
219,20,10,90,0.0
220,20,20,0,0.90265625
221,20,20,10,0.47921875
222,20,20,20,0.33984375
223,20,20,30,0.249375
224,20,20,40,0.19
225,20,20,50,0.1475
226,20,20,60,0.10765625
227,20,20,70,0.0709375
228,20,20,80,0.0328125
229,20,20,90,0.00390625
230,20,30,0,0.91515625
231,20,30,10,0.544375
232,20,30,20,0.41640625
233,20,30,30,0.33265625
234,20,30,40,0.25828125
235,20,30,50,0.23046875
236,20,30,60,0.19140625
237,20,30,70,0.173125
238,20,30,80,0.163125
239,20,30,90,0.1325
240,20,40,0,0.921875
241,20,40,10,0.57109375
242,20,40,20,0.4484375
243,20,40,30,0.36453125
244,20,40,40,0.31625
245,20,40,50,0.284375
246,20,40,60,0.23625
247,20,40,70,0.21625
248,20,40,80,0.19046875
249,20,40,90,0.1803125
250,20,50,0,0.93859375
251,20,50,10,0.5928125
252,20,50,20,0.48421875
253,20,50,30,0.405
254,20,50,40,0.3453125
255,20,50,50,0.306875
256,20,50,60,0.27625
257,20,50,70,0.2459375
258,20,50,80,0.22296875
259,20,50,90,0.20734375
260,20,60,0,0.955625
261,20,60,10,0.62890625
262,20,60,20,0.50796875
263,20,60,30,0.42953125
264,20,60,40,0.38
265,20,60,50,0.328125
266,20,60,60,0.28796875
267,20,60,70,0.266875
268,20,60,80,0.23640625
269,20,60,90,0.20265625
270,20,70,0,0.96828125
271,20,70,10,0.640625
272,20,70,20,0.5228125
273,20,70,30,0.4475
274,20,70,40,0.3971875
275,20,70,50,0.34984375
276,20,70,60,0.3296875
277,20,70,70,0.28046875
278,20,70,80,0.26265625
279,20,70,90,0.24359375
280,20,80,0,0.98109375
281,20,80,10,0.65203125
282,20,80,20,0.545
283,20,80,30,0.45078125
284,20,80,40,0.42046875
285,20,80,50,0.39046875
286,20,80,60,0.33875
287,20,80,70,0.30484375
288,20,80,80,0.263125
289,20,80,90,0.26234375
290,20,90,0,0.99125
291,20,90,10,0.675625
292,20,90,20,0.55703125
293,20,90,30,0.48734375
294,20,90,40,0.4271875
295,20,90,50,0.3734375
296,20,90,60,0.353125
297,20,90,70,0.3171875
298,20,90,80,0.3009375
299,20,90,90,0.274375
300,30,0,0,0.0546875
301,30,0,10,0.0
302,30,0,20,0.0
303,30,0,30,0.0
304,30,0,40,0.0
305,30,0,50,0.0
306,30,0,60,0.0
307,30,0,70,0.0
308,30,0,80,0.0
309,30,0,90,0.0
310,30,10,0,0.89046875
311,30,10,10,0.29953125
312,30,10,20,0.07625
313,30,10,30,0.0003125
314,30,10,40,0.0
315,30,10,50,0.0
316,30,10,60,0.0
317,30,10,70,0.0
318,30,10,80,0.0
319,30,10,90,0.0
320,30,20,0,0.9025
321,30,20,10,0.4359375
322,30,20,20,0.29484375
323,30,20,30,0.2378125
324,30,20,40,0.17875
325,30,20,50,0.13859375
326,30,20,60,0.104375
327,30,20,70,0.06703125
328,30,20,80,0.02546875
329,30,20,90,0.01140625
330,30,30,0,0.91234375
331,30,30,10,0.49546875
332,30,30,20,0.381875
333,30,30,30,0.29390625
334,30,30,40,0.26421875
335,30,30,50,0.2159375
336,30,30,60,0.1878125
337,30,30,70,0.1684375
338,30,30,80,0.14640625
339,30,30,90,0.13359375
340,30,40,0,0.92765625
341,30,40,10,0.5246875
342,30,40,20,0.41609375
343,30,40,30,0.35046875
344,30,40,40,0.301875
345,30,40,50,0.27984375
346,30,40,60,0.23796875
347,30,40,70,0.21125
348,30,40,80,0.183125
349,30,40,90,0.15640625
350,30,50,0,0.94390625
351,30,50,10,0.56203125
352,30,50,20,0.45125
353,30,50,30,0.37
354,30,50,40,0.32859375
355,30,50,50,0.3009375
356,30,50,60,0.2665625
357,30,50,70,0.24125
358,30,50,80,0.2140625
359,30,50,90,0.20296875
360,30,60,0,0.95328125
361,30,60,10,0.57484375
362,30,60,20,0.46734375
363,30,60,30,0.41390625
364,30,60,40,0.3471875
365,30,60,50,0.31671875
366,30,60,60,0.28859375
367,30,60,70,0.25484375
368,30,60,80,0.24890625
369,30,60,90,0.22
370,30,70,0,0.96890625
371,30,70,10,0.60109375
372,30,70,20,0.49875
373,30,70,30,0.4271875
374,30,70,40,0.3690625
375,30,70,50,0.3509375
376,30,70,60,0.31640625
377,30,70,70,0.28703125
378,30,70,80,0.2540625
379,30,70,90,0.24046875
380,30,80,0,0.979375
381,30,80,10,0.59734375
382,30,80,20,0.49484375
383,30,80,30,0.43828125
384,30,80,40,0.39703125
385,30,80,50,0.3590625
386,30,80,60,0.31203125
387,30,80,70,0.28890625
388,30,80,80,0.28328125
389,30,80,90,0.2615625
390,30,90,0,0.9896875
391,30,90,10,0.6278125
392,30,90,20,0.515625
393,30,90,30,0.4703125
394,30,90,40,0.39828125
395,30,90,50,0.38734375
396,30,90,60,0.33375
397,30,90,70,0.31671875
398,30,90,80,0.29390625
399,30,90,90,0.2809375
400,40,0,0,0.04296875
401,40,0,10,0.0
402,40,0,20,0.0
403,40,0,30,0.0
404,40,0,40,0.0
405,40,0,50,0.0
406,40,0,60,0.0
407,40,0,70,0.0
408,40,0,80,0.0
409,40,0,90,0.0
410,40,10,0,0.868125
411,40,10,10,0.2409375
412,40,10,20,0.024375
413,40,10,30,0.0
414,40,10,40,0.0
415,40,10,50,0.0
416,40,10,60,0.0
417,40,10,70,0.0
418,40,10,80,0.0
419,40,10,90,0.0
420,40,20,0,0.905
421,40,20,10,0.383125
422,40,20,20,0.28328125
423,40,20,30,0.20828125
424,40,20,40,0.1628125
425,40,20,50,0.13609375
426,40,20,60,0.10078125
427,40,20,70,0.07171875
428,40,20,80,0.03875
429,40,20,90,0.01609375
430,40,30,0,0.91328125
431,40,30,10,0.455
432,40,30,20,0.335625
433,40,30,30,0.2871875
434,40,30,40,0.2425
435,40,30,50,0.21515625
436,40,30,60,0.1865625
437,40,30,70,0.16375
438,40,30,80,0.14203125
439,40,30,90,0.1278125
440,40,40,0,0.930625
441,40,40,10,0.48625
442,40,40,20,0.3909375
443,40,40,30,0.32890625
444,40,40,40,0.279375
445,40,40,50,0.24796875
446,40,40,60,0.2284375
447,40,40,70,0.20640625
448,40,40,80,0.19375
449,40,40,90,0.176875
450,40,50,0,0.93875
451,40,50,10,0.5071875
452,40,50,20,0.43109375
453,40,50,30,0.35984375
454,40,50,40,0.32984375
455,40,50,50,0.28140625
456,40,50,60,0.255625
457,40,50,70,0.2459375
458,40,50,80,0.21671875
459,40,50,90,0.2021875
460,40,60,0,0.95109375
461,40,60,10,0.53140625
462,40,60,20,0.43
463,40,60,30,0.38546875
464,40,60,40,0.330625
465,40,60,50,0.31578125
466,40,60,60,0.27625
467,40,60,70,0.263125
468,40,60,80,0.2271875
469,40,60,90,0.21875
470,40,70,0,0.97125
471,40,70,10,0.5515625
472,40,70,20,0.45953125
473,40,70,30,0.4065625
474,40,70,40,0.35875
475,40,70,50,0.32203125
476,40,70,60,0.29515625
477,40,70,70,0.27984375
478,40,70,80,0.25359375
479,40,70,90,0.2334375
480,40,80,0,0.9809375
481,40,80,10,0.5696875
482,40,80,20,0.46171875
483,40,80,30,0.4246875
484,40,80,40,0.376875
485,40,80,50,0.34328125
486,40,80,60,0.316875
487,40,80,70,0.2821875
488,40,80,80,0.27484375
489,40,80,90,0.2496875
490,40,90,0,0.99015625
491,40,90,10,0.568125
492,40,90,20,0.4778125
493,40,90,30,0.44
494,40,90,40,0.39515625
495,40,90,50,0.35796875
496,40,90,60,0.3278125
497,40,90,70,0.2946875
498,40,90,80,0.26828125
499,40,90,90,0.27765625
500,50,0,0,0.0546875
501,50,0,10,0.0
502,50,0,20,0.0
503,50,0,30,0.0
504,50,0,40,0.0
505,50,0,50,0.0
506,50,0,60,0.0
507,50,0,70,0.0
508,50,0,80,0.0
509,50,0,90,0.0
510,50,10,0,0.88671875
511,50,10,10,0.19890625
512,50,10,20,0.009375
513,50,10,30,0.0
514,50,10,40,0.0
515,50,10,50,0.0
516,50,10,60,0.0
517,50,10,70,0.0
518,50,10,80,0.0
519,50,10,90,0.0
520,50,20,0,0.904375
521,50,20,10,0.346875
522,50,20,20,0.2634375
523,50,20,30,0.18703125
524,50,20,40,0.15234375
525,50,20,50,0.1146875
